Vd Vg Vs Vb L Ids qs  
0.05 0.808080808081 0 0 1e-06 4.283e-07 -2.696e-16 
1.0 0.808080808081 0 0 1e-06 2.743e-06 -2.218e-16 
0.05 0.818181818182 0 0 1e-06 4.347e-07 -2.758e-16 
1.0 0.818181818182 0 0 1e-06 2.841e-06 -2.268e-16 
0.05 0.828282828283 0 0 1e-06 4.410e-07 -2.821e-16 
1.0 0.828282828283 0 0 1e-06 2.941e-06 -2.319e-16 
0.05 0.838383838384 0 0 1e-06 4.472e-07 -2.883e-16 
1.0 0.838383838384 0 0 1e-06 3.041e-06 -2.369e-16 
0.05 0.848484848485 0 0 1e-06 4.533e-07 -2.946e-16 
1.0 0.848484848485 0 0 1e-06 3.143e-06 -2.420e-16 
0.05 0.858585858586 0 0 1e-06 4.592e-07 -3.009e-16 
1.0 0.858585858586 0 0 1e-06 3.246e-06 -2.471e-16 
0.05 0.868686868687 0 0 1e-06 4.650e-07 -3.072e-16 
1.0 0.868686868687 0 0 1e-06 3.351e-06 -2.522e-16 
0.05 0.878787878788 0 0 1e-06 4.708e-07 -3.135e-16 
1.0 0.878787878788 0 0 1e-06 3.457e-06 -2.573e-16 
0.05 0.888888888889 0 0 1e-06 4.764e-07 -3.199e-16 
1.0 0.888888888889 0 0 1e-06 3.564e-06 -2.624e-16 
0.05 0.89898989899 0 0 1e-06 4.819e-07 -3.262e-16 
1.0 0.89898989899 0 0 1e-06 3.672e-06 -2.675e-16 
0.05 0.909090909091 0 0 1e-06 4.873e-07 -3.326e-16 
1.0 0.909090909091 0 0 1e-06 3.782e-06 -2.727e-16 
0.05 0.919191919192 0 0 1e-06 4.927e-07 -3.390e-16 
1.0 0.919191919192 0 0 1e-06 3.893e-06 -2.778e-16 
0.05 0.929292929293 0 0 1e-06 4.979e-07 -3.453e-16 
1.0 0.929292929293 0 0 1e-06 4.004e-06 -2.830e-16 
0.05 0.939393939394 0 0 1e-06 5.030e-07 -3.517e-16 
1.0 0.939393939394 0 0 1e-06 4.118e-06 -2.881e-16 
0.05 0.949494949495 0 0 1e-06 5.080e-07 -3.581e-16 
1.0 0.949494949495 0 0 1e-06 4.232e-06 -2.933e-16 
0.05 0.959595959596 0 0 1e-06 5.130e-07 -3.645e-16 
1.0 0.959595959596 0 0 1e-06 4.347e-06 -2.985e-16 
0.05 0.969696969697 0 0 1e-06 5.178e-07 -3.710e-16 
1.0 0.969696969697 0 0 1e-06 4.464e-06 -3.037e-16 
0.05 0.979797979798 0 0 1e-06 5.225e-07 -3.774e-16 
1.0 0.979797979798 0 0 1e-06 4.582e-06 -3.089e-16 
0.05 0.989898989899 0 0 1e-06 5.272e-07 -3.838e-16 
1.0 0.989898989899 0 0 1e-06 4.701e-06 -3.141e-16 
0.05 1.0 0 0 1e-06 5.318e-07 -3.903e-16 
1.0 1.0 0 0 1e-06 4.821e-06 -3.193e-16 
