Vd Vg Vs Vb Lg PHIG Nch TFIN HFIN tins alpha1_P alpha11_P cgsfe t_FE gauss_n SSrolloff ul QMFACTORCV qs vfe qmguess q0 q1 q2 q3 q4 ids0  
0.1 0.333333333333 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0303974933304 -0.0594797957094 0.0343408254462 -0.575046720167 -0.574799722697 -0.574355692755 -0.573715108982 -0.572878791145 3.14741278748e-09
0.1 0.343434343434 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0415448606298 -0.0812922081189 0.0488669637183 -0.764398736131 -0.764064543594 -0.763463798659 -0.762597211115 -0.761465979157 4.19973546915e-09
0.1 0.353535353535 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0566284327034 -0.110806695556 0.0704316399995 -1.02577610114 -1.02530395739 -1.02445534401 -1.02323145596 -1.02163426097 5.60256822172e-09
0.1 0.363636363636 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.076948230418 -0.150567007743 0.103550533024 -1.41246624876 -1.41172839256 -1.41040264412 -1.40849162986 -1.40599950775 7.50649910098e-09
0.1 0.373737373737 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.104187798484 -0.203867284023 0.157207047039 -2.11156068367 -2.10993614598 -2.10702181198 -2.10283116651 -2.09738422495 1.02271678908e-08
0.1 0.383838383838 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.140512120619 -0.274943559322 0.25196682859 -34.6364769851 -34.6358297402 -34.6346653567 -34.6329836783 -34.6307919773 2.83637555816e-08
0.1 0.393939393939 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.18869578147 -0.369224340393 0.444924041627 -35.0534593453 -35.0528385559 -35.0517217723 -35.0501088566 -35.0479999376 8.86149947042e-08
0.1 0.40404040404 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.252307641932 -0.493691504632 0.944515143251 -35.4539566703 -35.4533596197 -35.4522855475 -35.4507343311 -35.4487061087 1.47646718196e-07
0.1 0.414141414141 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.336011071294 -0.657466722283 2.89171299011 -35.8396091191 -35.8390335204 -35.8379980443 -35.8365025812 -35.8345472766 2.05293559023e-07
0.1 0.424242424242 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.446111561957 -0.872880553194 15.4903949602 -36.2118050122 -36.211248919 -36.2102485368 -36.2088037667 -36.2069147599 2.63870812381e-07
0.1 0.434343434343 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.591659369793 -1.15762410721 36.8407055183 -36.5717316167 -36.5711933565 -36.5702250584 -36.5688266331 -36.566998236 3.24087033376e-07
0.1 0.444444444444 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.786909907975 -1.53954775597 36.972760156 -36.9204135287 -36.9198916518 -36.9189528294 -36.9175969806 -36.9158242637 3.84125788717e-07
0.1 0.454545454545 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 1.05768506757 -2.06906048033 37.1048114797 -37.2587421353 -37.2582353757 -37.2573237513 -37.256007188 -37.2542858466 4.44937106201e-07
0.1 0.464646464646 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 1.46275774876 -2.86077867562 37.2368594875 -37.5874985645 -37.5870058091 -37.5861193795 -37.5848392081 -37.5831654574 5.0258043159e-07
0.1 0.474747474747 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 2.22699965241 -4.35253200398 37.3689041775 -37.9073717983 -37.906892062 -37.9060290551 -37.9047827155 -37.9031532068 5.66668084924e-07
0.1 0.484848484848 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 34.6792719283 -48.5471189305 37.5009455478 -38.2189731377 -38.2185055442 -38.2176643833 -38.2164495977 -38.2148613516 6.04927591712e-07
0.1 0.494949494949 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 35.0945112712 -48.6576205935 37.6329835965 -38.5228478799 -38.5223916456 -38.5215709206 -38.5203856519 -38.5188360042 6.10752283979e-07
0.1 0.505050505051 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 35.4934439182 -48.7479519643 37.7650183219 -38.8194848355 -38.8190392561 -38.8182376999 -38.8170801179 -38.8155666747 6.1639851169e-07
0.1 0.515151515152 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 35.8776819529 -48.8201219059 37.8970497222 -39.1093241542 -39.1088885942 -39.1081050635 -39.1069735166 -39.1054941179 6.21880428262e-07
0.1 0.525252525253 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 36.2485913868 -48.8758315784 38.0290777956 -39.3927638134 -39.3923376972 -39.3915711561 -39.390464148 -39.3890168368 6.27210404926e-07
0.1 0.535353535354 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 36.6073415372 -48.9165363084 38.1611025405 -39.6701650371 -39.6697478411 -39.6689973478 -39.6679135179 -39.6664965149 6.3239933309e-07
0.1 0.545454545455 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 36.9549423748 -48.9434923639 38.2931239551 -39.9418568536 -39.9414481001 -39.9407127952 -39.939650902 -39.9382625836 6.3745686309e-07
0.1 0.555555555556 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 37.2922732345 -48.9577928992 38.4251420377 -40.2081399527 -40.2077392046 -40.2070183013 -40.2059772087 -40.2046160889 6.4239159511e-07
0.1 0.565656565657 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 37.6201052126 -48.9603959817 38.5571567867 -40.4692899704 -40.4688968262 -40.4681896025 -40.4671682673 -40.4658329819 6.47211233584e-07
0.1 0.575757575758 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 37.9391188648 -48.9521467318 38.6891682006 -40.7255603004 -40.7251743906 -40.7244801816 -40.7234776436 -40.7221669367 6.51922713355e-07
