Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.5 0.479797979798 0 0 1e-07 1e-07 1.72339534748e-05 8.32881572034e-18 0 0
0.05 0.484848484848 0 0 1e-07 1e-07 9.64150948116e-06 1.35065716205e-17 0 0
0.5 0.484848484848 0 0 1e-07 1e-07 1.84654207137e-05 8.71837678132e-18 0 0
0.05 0.489898989899 0 0 1e-07 1e-07 1.01087959648e-05 1.42210895466e-17 0 0
0.5 0.489898989899 0 0 1e-07 1e-07 1.97497089842e-05 9.11304603272e-18 0 0
0.05 0.494949494949 0 0 1e-07 1e-07 1.05841544025e-05 1.49482118031e-17 0 0
0.5 0.494949494949 0 0 1e-07 1e-07 2.10876003067e-05 9.51265144466e-18 0 0
0.05 0.5 0 0 1e-07 1e-07 1.10675210671e-05 1.56874844971e-17 0 0
0.5 0.5 0 0 1e-07 1e-07 2.24798684899e-05 9.91703149269e-18 0 0
0.05 0.0 0 0 1e-07 1.5e-07 2.4523760636e-12 4.8390188904e-24 0 0
0.5 0.0 0 0 1e-07 1.5e-07 2.97761739029e-12 4.23283271555e-24 0 0
0.05 0.00505050505051 0 0 1e-07 1.5e-07 2.94644971237e-12 5.81391958498e-24 0 0
0.5 0.00505050505051 0 0 1e-07 1.5e-07 3.57694002129e-12 5.08479704264e-24 0 0
0.05 0.010101010101 0 0 1e-07 1.5e-07 3.54006334396e-12 6.9852299259e-24 0 0
0.5 0.010101010101 0 0 1e-07 1.5e-07 4.29689215991e-12 6.1082404051e-24 0 0
0.05 0.0151515151515 0 0 1e-07 1.5e-07 4.25327119701e-12 8.39251971405e-24 0 0
0.5 0.0151515151515 0 0 1e-07 1.5e-07 5.16175381425e-12 7.33767710744e-24 0 0
0.05 0.020202020202 0 0 1e-07 1.5e-07 5.11016787708e-12 1.0083330651e-23 0 0
0.5 0.020202020202 0 0 1e-07 1.5e-07 6.20069207223e-12 8.81456824157e-24 0 0
0.05 0.0252525252525 0 0 1e-07 1.5e-07 6.13970240385e-12 1.21147823677e-23 0 0
0.5 0.0252525252525 0 0 1e-07 1.5e-07 7.44874479953e-12 1.05887198608e-23 0 0
0.05 0.030303030303 0 0 1e-07 1.5e-07 7.37665627793e-12 1.4555501993e-23 0 0
0.5 0.030303030303 0 0 1e-07 1.5e-07 8.94800235126e-12 1.27199625515e-23 0 0
0.05 0.0353535353535 0 0 1e-07 1.5e-07 8.86281862872e-12 1.74879424377e-23 0 0
0.5 0.0353535353535 0 0 1e-07 1.5e-07 1.07490271672e-11 1.5280169038e-23 0 0
0.05 0.040404040404 0 0 1e-07 1.5e-07 1.06483981607e-11 2.10111677012e-23 0 0
0.5 0.040404040404 0 0 1e-07 1.5e-07 1.29125591408e-11 1.83556778411e-23 0 0
0.05 0.0454545454545 0 0 1e-07 1.5e-07 1.27937196088e-11 2.52441992463e-23 0 0
0.5 0.0454545454545 0 0 1e-07 1.5e-07 1.55115642976e-11 2.20502046969e-23 0 0
0.05 0.0505050505051 0 0 1e-07 1.5e-07 1.53712620789e-11 3.03300364949e-23 0 0
0.5 0.0505050505051 0 0 1e-07 1.5e-07 1.86336959249e-11 2.64883399046e-23 0 0
0.05 0.0555555555556 0 0 1e-07 1.5e-07 1.84681081617e-11 3.64404871783e-23 0 0
0.5 0.0555555555556 0 0 1e-07 1.5e-07 2.23842511844e-11 3.18197494596e-23 0 0
0.05 0.0606060606061 0 0 1e-07 1.5e-07 2.21888866415e-11 4.37819706532e-23 0 0
0.5 0.0606060606061 0 0 1e-07 1.5e-07 2.6889723036e-11 3.82242216362e-23 0 0
0.05 0.0656565656566 0 0 1e-07 1.5e-07 2.66593083445e-11 5.26024901627e-23 0 0
0.5 0.0656565656566 0 0 1e-07 1.5e-07 3.23020673245e-11 4.59177290293e-23 0 0
0.05 0.0707070707071 0 0 1e-07 1.5e-07 3.20304147179e-11 6.3200009368e-23 0 0
0.5 0.0707070707071 0 0 1e-07 1.5e-07 3.88038291642e-11 5.51597104275e-23 0 0
0.05 0.0757575757576 0 0 1e-07 1.5e-07 3.84836828929e-11 7.59325159311e-23 0 0
0.5 0.0757575757576 0 0 1e-07 1.5e-07 4.6614301701e-11 6.62618178043e-23 0 0
0.05 0.0808080808081 0 0 1e-07 1.5e-07 4.62371600915e-11 9.12301118277e-23 0 0
0.5 0.0808080808081 0 0 1e-07 1.5e-07 5.59969253047e-11 7.95984230935e-23 0 0
0.05 0.0858585858586 0 0 1e-07 1.5e-07 5.55528349992e-11 1.09609538247e-22 0 0
0.5 0.0858585858586 0 0 1e-07 1.5e-07 6.72681773154e-11 9.56192387398e-23 0 0
