VD VG VS VB Ids Qg  
-0.95 -1.39393939394 0 0 -0.0103110030246 -1.97428208896e-14
-0.05 -1.37373737374 0 0 -0.00107597638509 -2.53204904719e-14
-0.2 -1.37373737374 0 0 -0.00414482381012 -2.29058161563e-14
-0.3 -1.37373737374 0 0 -0.00590525880378 -2.14955460432e-14
-0.5 -1.37373737374 0 0 -0.00814995629495 -1.98218153119e-14
-0.7 -1.37373737374 0 0 -0.00923582226132 -1.92908074633e-14
-0.95 -1.37373737374 0 0 -0.0100395598865 -1.91855530142e-14
-0.05 -1.35353535354 0 0 -0.00106892484206 -2.45507453289e-14
-0.2 -1.35353535354 0 0 -0.00410658253009 -2.21541273402e-14
-0.3 -1.35353535354 0 0 -0.00582769996358 -2.07721190712e-14
-0.5 -1.35353535354 0 0 -0.00797387049537 -1.91836363888e-14
-0.7 -1.35353535354 0 0 -0.00900160389932 -1.87045258765e-14
-0.95 -1.35353535354 0 0 -0.00976470563596 -1.8634479636e-14
-0.05 -1.33333333333 0 0 -0.00106152038898 -2.378473924e-14
-0.2 -1.33333333333 0 0 -0.00406606922872 -2.14073250375e-14
-0.3 -1.33333333333 0 0 -0.00574548913911 -2.00556550362e-14
-0.5 -1.33333333333 0 0 -0.00779218432105 -1.85537045175e-14
-0.7 -1.33333333333 0 0 -0.00876303449745 -1.81254259155e-14
-0.95 -1.33333333333 0 0 -0.00948660596743 -1.80895977871e-14
-0.05 -1.31313131313 0 0 -0.00105373840673 -2.30226219939e-14
-0.2 -1.31313131313 0 0 -0.0040231009925 -2.06656764058e-14
-0.3 -1.31313131313 0 0 -0.00565835151053 -1.93465480232e-14
-0.5 -1.31313131313 0 0 -0.0076049143945 -1.79321742069e-14
-0.7 -1.31313131313 0 0 -0.0085202084834 -1.75535927119e-14
-0.95 -1.31313131313 0 0 -0.00920546112763 -1.75508795704e-14
-0.05 -1.29292929293 0 0 -0.001045552148 -2.22645533448e-14
-0.2 -1.29292929293 0 0 -0.00397747896944 -1.99294726857e-14
-0.3 -1.29292929293 0 0 -0.00556601177983 -1.86452093349e-14
-0.5 -1.29292929293 0 0 -0.00741210038303 -1.73191927647e-14
-0.7 -1.29292929293 0 0 -0.0082732434279 -1.69891029849e-14
-0.95 -1.29292929293 0 0 -0.00892150251391 -1.70182761387e-14
-0.05 -1.27272727273 0 0 -0.00103693252922 -2.15107039313e-14
-0.2 -1.27272727273 0 0 -0.00392898753626 -1.91990316133e-14
-0.3 -1.27272727273 0 0 -0.00546819853378 -1.79520653754e-14
-0.5 -1.27272727273 0 0 -0.00721380725794 -1.67148993928e-14
-0.7 -1.27272727273 0 0 -0.0080222831335 -1.64320228744e-14
-0.95 -1.27272727273 0 0 -0.00863498136858 -1.6491730528e-14
-0.05 -1.25252525253 0 0 -0.00102784790239 -2.07612563027e-14
-0.2 -1.25252525253 0 0 -0.00387739369548 -1.84746999431e-14
-0.3 -1.25252525253 0 0 -0.00536464946019 -1.72675548476e-14
-0.5 -1.25252525253 0 0 -0.007010127719 -1.61194241956e-14
-0.7 -1.25252525253 0 0 -0.00776750105989 -1.58824053615e-14
-0.95 -1.25252525253 0 0 -0.00834615694704 -1.597119161e-14
-0.05 -1.23232323232 0 0 -0.00101826380541 -2.00164060679e-14
-0.2 -1.23232323232 0 0 -0.00382244682818 -1.77568560132e-14
-0.3 -1.23232323232 0 0 -0.0052551174351 -1.65921252296e-14
-0.5 -1.23232323232 0 0 -0.0068011848017 -1.55328870793e-14
-0.7 -1.23232323232 0 0 -0.0075091040193 -1.53402872778e-14
-0.95 -1.23232323232 0 0 -0.0080552972831 -1.54566145484e-14
-0.05 -1.21212121212 0 0 -0.00100814269014 -1.92763631838e-14
-0.2 -1.21212121212 0 0 -0.00376387896567 -1.70459122556e-14
-0.3 -1.21212121212 0 0 -0.00513937746325 -1.59262285255e-14
-0.5 -1.21212121212 0 0 -0.00658713469057 -1.495539651e-14
-0.7 -1.21212121212 0 0 -0.00724733622117 -1.4805685754e-14
-0.95 -1.21212121212 0 0 -0.00776269233383 -1.49479473797e-14
-0.05 -1.19191919192 0 0 -0.000997443627807 -1.85413534032e-14
-0.2 -1.19191919192 0 0 -0.00370140578565 -1.63423175116e-14
-0.3 -1.19191919192 0 0 -0.00501723441286 -1.52703163219e-14
-0.5 -1.19191919192 0 0 -0.0063681697702 -1.43870480832e-14
-0.7 -1.19191919192 0 0 -0.00698248414071 -1.42785935817e-14
-0.95 -1.19191919192 0 0 -0.00746866719509 -1.44451170962e-14
-0.05 -1.17171717172 0 0 -0.000986121992147 -1.78116199065e-14
-0.2 -1.17171717172 0 0 -0.00363472858464 -1.56465589621e-14
-0.3 -1.17171717172 0 0 -0.00488853143899 -1.46248342232e-14
-0.5 -1.17171717172 0 0 -0.00614452195732 -1.38279228375e-14
-0.7 -1.17171717172 0 0 -0.00671488276745 -1.37589729143e-14
-0.95 -1.17171717172 0 0 -0.00717359051987 -1.39480207517e-14
-0.05 -1.15151515152 0 0 -0.00097412912201 -1.7087425142e-14
-0.2 -1.15151515152 0 0 -0.00356353752415 -1.49591634266e-14
-0.3 -1.15151515152 0 0 -0.00475315894189 -1.39902157826e-14
-0.5 -1.15151515152 0 0 -0.00591646637359 -1.32780852183e-14
-0.7 -1.15151515152 0 0 -0.00644492227419 -1.32467483738e-14
-0.95 -1.15151515152 0 0 -0.00687787446142 -1.34565260143e-14
-0.05 -1.13131313131 0 0 -0.00096141196706 -1.63690529072e-14
-0.2 -1.13131313131 0 0 -0.0034875164862 -1.42806977258e-14
-0.3 -1.13131313131 0 0 -0.00461106386023 -1.336687609e-14
-0.5 -1.13131313131 0 0 -0.00568432543485 -1.27375805595e-14
-0.7 -1.13131313131 0 0 -0.00617305056221 -1.2741804665e-14
-0.95 -1.13131313131 0 0 -0.00658196119083 -1.29704873337e-14
-0.05 -1.11111111111 0 0 -0.00094791272285 -1.56568107059e-14
-0.2 -1.11111111111 0 0 -0.00340634989598 -1.36117677495e-14
-0.3 -1.11111111111 0 0 -0.00446225905892 -1.27552052168e-14
-0.5 -1.11111111111 0 0 -0.00544847344188 -1.22064319217e-14
-0.7 -1.11111111111 0 0 -0.00589976434121 -1.22439974065e-14
-0.95 -1.11111111111 0 0 -0.0062863063553 -1.24897663454e-14
-0.05 -1.09090909091 0 0 -0.000933568465607 -1.49510324213e-14
-0.2 -1.09090909091 0 0 -0.00331973186096 -1.29530158291e-14
-0.3 -1.09090909091 0 0 -0.00430683254094 -1.21555617465e-14
-0.5 -1.09090909091 0 0 -0.00520934173644 -1.16846361044e-14
-0.7 -1.09090909091 0 0 -0.00562558723955 -1.17531798264e-14
-0.95 -1.09090909091 0 0 -0.00599137261552 -1.20142413427e-14
-0.05 -1.07070707071 0 0 -0.000918310802701 -1.42520813505e-14
-0.2 -1.07070707071 0 0 -0.00322737792261 -1.23051160149e-14
-0.3 -1.07070707071 0 0 -0.00414495619664 -1.15682666383e-14
-0.5 -1.07070707071 0 0 -0.00496742440476 -1.11721586947e-14
-0.7 -1.07070707071 0 0 -0.00535105101273 -1.12692272812e-14
-0.95 -1.07070707071 0 0 -0.00569763238662 -1.15438064019e-14
-0.05 -1.05050505051 0 0 -0.000902065562863 -1.35603536524e-14
-0.2 -1.05050505051 0 0 -0.00312903960069 -1.16687668923e-14
-0.3 -1.05050505051 0 0 -0.00397689380494 -1.09935976649e-14
-0.5 -1.05050505051 0 0 -0.00472328434196 -1.06689281503e-14
-0.7 -1.05050505051 0 0 -0.00507670067546 -1.07920342803e-14
-0.95 -1.05050505051 0 0 -0.00540557313556 -1.1078367574e-14
-0.05 -1.0303030303 0 0 -0.000884752561514 -1.28762822616e-14
-0.2 -1.0303030303 0 0 -0.00302452171932 -1.10446816902e-14
-0.3 -1.0303030303 0 0 -0.00380300802074 -1.04317846469e-14
-0.5 -1.0303030303 0 0 -0.00447755917241 -1.01748292876e-14
-0.7 -1.0303030303 0 0 -0.00480311689255 -1.03214901987e-14
-0.95 -1.0303030303 0 0 -0.00511570147735 -1.06178404636e-14
-0.05 -1.0101010101 0 0 -0.000866285492406 -1.22003413279e-14
-0.2 -1.0101010101 0 0 -0.00291370223133 -1.04335756246e-14
-0.3 -1.0101010101 0 0 -0.00362376612296 -9.88300565346e-15
-0.5 -1.0101010101 0 0 -0.00423096556155 -9.68969786634e-15
-0.7 -1.0101010101 0 0 -0.00453093447526 -9.85745828743e-15
-0.95 -1.0101010101 0 0 -0.00482854531575 -1.01621501471e-14
-0.05 -0.989898989899 0 0 -0.000846572018682 -1.15330512378e-14
-0.2 -0.989898989899 0 0 -0.00279655391329 -9.83615070457e-15
-0.3 -0.989898989899 0 0 -0.00343974435614 -9.34738426424e-15
-0.5 -0.989898989899 0 0 -0.00398429748079 -9.21332199117e-15
-0.7 -0.989898989899 0 0 -0.00426085182164 -9.39976463652e-15
-0.95 -0.989898989899 0 0 -0.00454465438504 -9.71123309949e-15
-0.05 -0.969696969697 0 0 -0.000825514166346 -1.08749842655e-14
-0.2 -0.969696969697 0 0 -0.00267316691665 -9.25307857532e-15
-0.3 -0.969696969697 0 0 -0.00325163077317 -8.82498788087e-15
-0.5 -0.969696969697 0 0 -0.00373840949128 -8.74546232225e-15
-0.7 -0.969696969697 0 0 -0.00399362391787 -8.94820698742e-15
-0.95 -0.969696969697 0 0 -0.00426459965978 -9.26504064916e-15
