Vd Vg Vs Vb Id Lg Ig  
-0.05 -0.298 0.0 0.0 -8.1214E-007 70e-9 -1.01E-012 
-0.05 -0.284 0.0 0.0 -5.4992E-007 70e-9 3.22E-012 
-0.05 -0.27 0.0 0.0 -3.633E-007 70e-9 7.21E-012 
-0.05 -0.256 0.0 0.0 -2.3072E-007 70e-9 9.96E-012 
-0.05 -0.242 0.0 0.0 -1.3748E-007 70e-9 4.06E-012 
-0.05 -0.228 0.0 0.0 -8.73528E-008 70e-9 -9.25E-012 
-0.05 -0.214 0.0 0.0 -5.3457E-008 70e-9 -3.88E-012 
-0.05 -0.2 0.0 0.0 -3.50618E-008 70e-9 7.81E-012 
-0.05 -0.186 0.0 0.0 -2.43024E-008 70e-9 7.66E-012 
-0.05 -0.172 0.0 0.0 -0.000000016 70e-9 8E-013 
-0.05 -0.158 0.0 0.0 -9.623E-009 70e-9 -8.39E-012 
-0.05 -0.144 0.0 0.0 -6.4613E-009 70e-9 3.41E-012 
-0.05 -0.13 0.0 0.0 -0.000000004 70e-9 3.92E-012 
-0.05 -0.116 0.0 0.0 -2.5486E-009 70e-9 2.59E-012 
-0.05 -0.102 0.0 0.0 -1.6033E-009 70e-9 1.99E-012 
-0.05 -0.088 0.0 0.0 -0.000000001 70e-9 -3.14E-012 
-0.05 -0.074 0.0 0.0 -6.0671E-010 70e-9 -7.94E-012 
-0.05 -0.06 0.0 0.0 -3.81E-010 70e-9 -8.05E-012 
-0.05 -0.046 0.0 0.0 -2.3963E-010 70e-9 -7.14E-012 
-0.05 -0.032 0.0 0.0 -1.508E-010 70e-9 -7.11E-012 
-0.05 -0.018 0.0 0.0 -9.205E-011 70e-9 -6.42E-012 
-0.05 -0.004 0.0 0.0 -5.401E-011 70e-9 -9.03E-012 
-0.05 0.01 0.0 0.0 -4.59E-011 70e-9 -8.54E-012 
-0.05 0.024 0.0 0.0 -3.054E-011 70e-9 -8.41E-012 
-0.05 0.038 0.0 0.0 -1.965E-011 70e-9 -8.37E-012 
-0.05 0.052 0.0 0.0 -1.317E-011 70e-9 -8.41E-012 
-0.05 0.066 0.0 0.0 -6.76E-012 70e-9 -7.7E-012 
-0.05 0.08 0.0 0.0 -1.75E-012 70e-9 -7.56E-012 
-0.05 0.094 0.0 0.0 3.8E-013 70e-9 -7.56E-012 
-0.05 0.108 0.0 0.0 3.79E-012 70e-9 -6.63E-012 
-0.05 0.122 0.0 0.0 5.59E-012 70e-9 -6.88E-012 
-0.05 0.136 0.0 0.0 8.1E-012 70e-9 -6.11E-012 
-0.05 0.15 0.0 0.0 1.152E-011 70e-9 -3.78E-012 
-0.05 0.164 0.0 0.0 1.25E-011 70e-9 -4.77E-012 
-0.05 0.178 0.0 0.0 1.424E-011 70e-9 -2.94E-012 
-0.05 0.192 0.0 0.0 1.581E-011 70e-9 -2.49E-012 
-0.05 0.206 0.0 0.0 1.94E-011 70e-9 -2.55E-012 
-0.05 0.22 0.0 0.0 2.045E-011 70e-9 -1.01E-012 
-0.05 0.234 0.0 0.0 2.158E-011 70e-9 -1.3E-013 
-0.05 0.248 0.0 0.0 2.292E-011 70e-9 -2.2E-013 
-0.05 0.262 0.0 0.0 2.516E-011 70e-9 9.1E-013 
-0.05 0.276 0.0 0.0 2.58E-011 70e-9 1.3E-012 
-0.05 0.29 0.0 0.0 2.661E-011 70e-9 2.4E-012 
-0.05 0.304 0.0 0.0 2.733E-011 70e-9 3.09E-012 
-0.05 0.318 0.0 0.0 2.817E-011 70e-9 3.84E-012 
-0.05 0.332 0.0 0.0 2.891E-011 70e-9 4.16E-012 
-0.05 0.346 0.0 0.0 2.875E-011 70e-9 6.12E-012 
-0.05 0.36 0.0 0.0 2.886E-011 70e-9 4.21E-012 
-0.05 0.374 0.0 0.0 3E-011 70e-9 6.28E-012 
-0.05 0.388 0.0 0.0 3.022E-011 70e-9 5.79E-012 
-0.05 0.402 0.0 0.0 3.043E-011 70e-9 6.57E-012 
-0.05 0.416 0.0 0.0 3.124E-011 70e-9 7.31E-012 
-0.05 0.43 0.0 0.0 3.085E-011 70e-9 7.26E-012 
-0.05 0.444 0.0 0.0 3.113E-011 70e-9 8.28E-012 
-0.05 0.458 0.0 0.0 3.118E-011 70e-9 9.16E-012 
-0.05 0.472 0.0 0.0 2.989E-011 70e-9 6.12E-012 
-0.05 0.486 0.0 0.0 3.09E-011 70e-9 7.39E-012 
-0.05 0.5 0.0 0.0 3.083E-011 70e-9 8.45E-012 
-0.5 0.5 0.0 0.0 -2.246E-011 70e-9 1.439E-011 
-0.5 0.486 0.0 0.0 -1.155E-011 70e-9 1.17E-011 
-0.5 0.472 0.0 0.0 -1.147E-011 70e-9 1.166E-011 
-0.5 0.458 0.0 0.0 -1.239E-011 70e-9 1.051E-011 
-0.5 0.444 0.0 0.0 -1.337E-011 70e-9 8.43E-012 
-0.5 0.43 0.0 0.0 -1.515E-011 70e-9 7.34E-012 
-0.5 0.416 0.0 0.0 -1.636E-011 70e-9 6.45E-012 
-0.5 0.402 0.0 0.0 -1.721E-011 70e-9 4.18E-012 
-0.5 0.388 0.0 0.0 -1.858E-011 70e-9 3.86E-012 
-0.5 0.374 0.0 0.0 -1.923E-011 70e-9 2.34E-012 
-0.5 0.36 0.0 0.0 -1.999E-011 70e-9 -2.6E-013 
-0.5 0.346 0.0 0.0 -2.191E-011 70e-9 -3.72E-012 
-0.5 0.332 0.0 0.0 -2.098E-011 70e-9 -6.39E-012 
-0.5 0.318 0.0 0.0 -2.068E-011 70e-9 -5.94E-012 
-0.5 0.304 0.0 0.0 -2.017E-011 70e-9 -7.26E-012 
-0.5 0.29 0.0 0.0 -1.934E-011 70e-9 -7.39E-012 
-0.5 0.276 0.0 0.0 -1.823E-011 70e-9 -6.98E-012 
-0.5 0.262 0.0 0.0 -1.756E-011 70e-9 -7.4E-012 
-0.5 0.248 0.0 0.0 -1.597E-011 70e-9 -8.28E-012 
-0.5 0.234 0.0 0.0 -1.45E-011 70e-9 -6.77E-012 
-0.5 0.22 0.0 0.0 -1.275E-011 70e-9 -8.37E-012 
-0.5 0.206 0.0 0.0 -1.127E-011 70e-9 -7.4E-012 
-0.5 0.192 0.0 0.0 -9.36E-012 70e-9 -7.16E-012 
-0.5 0.178 0.0 0.0 -7.03E-012 70e-9 -7.47E-012 
-0.5 0.164 0.0 0.0 -3.71E-012 70e-9 -6.51E-012 
-0.5 0.15 0.0 0.0 -3.54E-012 70e-9 -7.01E-012 
-0.5 0.136 0.0 0.0 -2.83E-012 70e-9 -5.9E-012 
-0.5 0.122 0.0 0.0 -1.59E-012 70e-9 -6.02E-012 
-0.5 0.108 0.0 0.0 -3.15E-012 70e-9 -5.4E-012 
-0.5 0.094 0.0 0.0 -3.81E-012 70e-9 -5.45E-012 
-0.5 0.08 0.0 0.0 -6.84E-012 70e-9 -4.49E-012 
-0.5 0.066 0.0 0.0 -1.324E-011 70e-9 -4.61E-012 
-0.5 0.052 0.0 0.0 -2.319E-011 70e-9 -2.74E-012 
-0.5 0.038 0.0 0.0 -4.243E-011 70e-9 -2.15E-012 
-0.5 0.024 0.0 0.0 -7.268E-011 70e-9 -1.33E-012 
