Vd Vgf Vs Vgb L IDS qtotd qtots vbgs  
0.95 0.414141414141 1 1 1e-06 5.997e-08 3.243e-05 1.472e-04 -2.056e-05 
0.0 0.434343434343 1 1 1e-06 3.821e-08 1.276e-05 8.858e-05 -1.188e-05 
0.95 0.434343434343 1 1 1e-06 3.473e-08 1.818e-05 8.881e-05 -1.169e-05 
0.0 0.454545454545 1 1 1e-06 2.113e-08 7.434e-06 5.082e-05 -6.567e-06 
0.95 0.454545454545 1 1 1e-06 1.941e-08 9.986e-06 5.096e-05 -6.463e-06 
0.0 0.474747474747 1 1 1e-06 1.145e-08 4.148e-06 2.808e-05 -3.029e-05 
0.95 0.474747474747 1 1 1e-06 1.060e-08 5.394e-06 2.820e-05 -3.508e-06 
0.0 0.494949494949 1 1 1e-06 6.151e-09 2.255e-06 1.518e-05 -1.536e-05 
0.95 0.494949494949 1 1 1e-06 5.707e-09 2.877e-06 1.524e-05 -1.883e-06 
0.0 0.515151515152 1 1 1e-06 3.282e-09 1.205e-06 8.089e-06 -7.903e-06 
0.95 0.515151515152 1 1 1e-06 3.050e-09 1.523e-06 8.117e-06 -1.005e-06 
0.0 0.535353535354 1 1 1e-06 1.745e-09 6.387e-07 4.276e-06 -4.116e-06 
0.95 0.535353535354 1 1 1e-06 1.623e-09 8.024e-07 4.291e-06 -5.346e-07 
0.0 0.555555555556 1 1 1e-06 9.264e-10 3.367e-07 2.252e-06 -2.161e-06 
0.95 0.555555555556 1 1 1e-06 8.621e-10 4.218e-07 2.259e-06 -2.842e-07 
0.0 0.575757575758 1 1 1e-06 4.915e-10 1.771e-07 1.183e-06 -1.140e-06 
0.95 0.575757575758 1 1 1e-06 4.575e-10 2.215e-07 1.187e-06 -1.512e-07 
0.0 0.59595959596 1 1 1e-06 2.608e-10 9.305e-08 6.210e-07 -6.043e-07 
0.95 0.59595959596 1 1 1e-06 2.428e-10 1.162e-07 6.232e-07 -8.058e-08 
0.0 0.616161616162 1 1 1e-06 1.384e-10 4.887e-08 3.259e-07 -3.215e-07 
0.95 0.616161616162 1 1 1e-06 1.288e-10 6.099e-08 3.271e-07 -4.311e-08 
0.0 0.636363636364 1 1 1e-06 7.345e-11 2.566e-08 1.710e-07 -1.720e-07 
0.95 0.636363636364 1 1 1e-06 6.839e-11 3.201e-08 1.716e-07 -2.322e-08 
0.0 0.656565656566 1 1 1e-06 3.900e-11 1.348e-08 8.977e-08 -9.269e-08 
0.95 0.656565656566 1 1 1e-06 3.632e-11 1.681e-08 9.009e-08 -1.264e-08 
0.0 0.676767676768 1 1 1e-06 2.072e-11 7.081e-09 4.713e-08 -5.059e-08 
0.95 0.676767676768 1 1 1e-06 1.930e-11 8.826e-09 4.730e-08 -7.012e-09 
0.0 0.69696969697 1 1 1e-06 1.101e-11 3.722e-09 2.475e-08 -2.818e-08 
0.95 0.69696969697 1 1 1e-06 1.026e-11 4.637e-09 2.484e-08 -4.001e-09 
0.0 0.717171717172 1 1 1e-06 5.858e-12 1.957e-09 1.300e-08 -1.619e-08 
0.95 0.717171717172 1 1 1e-06 5.456e-12 2.437e-09 1.305e-08 -2.381e-09 
0.0 0.737373737374 1 1 1e-06 3.118e-12 1.029e-09 6.835e-09 -9.739e-09 
0.95 0.737373737374 1 1 1e-06 2.904e-12 1.281e-09 6.861e-09 -1.499e-09 
0.0 0.757575757576 1 1 1e-06 1.660e-12 5.416e-10 3.594e-09 -6.222e-09 
0.95 0.757575757576 1 1 1e-06 1.546e-12 6.740e-10 3.608e-09 -1.009e-09 
0.0 0.777777777778 1 1 1e-06 8.846e-13 2.852e-10 1.891e-09 -4.263e-09 
0.95 0.777777777778 1 1 1e-06 8.239e-13 3.547e-10 1.898e-09 -7.275e-10 
0.0 0.79797979798 1 1 1e-06 4.716e-13 1.502e-10 9.953e-10 -3.131e-09 
0.95 0.79797979798 1 1 1e-06 4.393e-13 1.868e-10 9.990e-10 -5.557e-10 
0.0 0.818181818182 1 1 1e-06 2.516e-13 7.917e-11 5.241e-10 -2.440e-09 
0.95 0.818181818182 1 1 1e-06 2.344e-13 9.839e-11 5.261e-10 -4.419e-10 
0.0 0.838383838384 1 1 1e-06 1.344e-13 4.175e-11 2.761e-10 -1.982e-09 
0.95 0.838383838384 1 1 1e-06 1.252e-13 5.186e-11 2.772e-10 -3.584e-10 
0.0 0.858585858586 1 1 1e-06 7.178e-14 2.203e-11 1.456e-10 -1.650e-09 
0.95 0.858585858586 1 1 1e-06 6.687e-14 2.735e-11 1.461e-10 -2.902e-10 
0.0 0.878787878788 1 1 1e-06 3.838e-14 1.163e-11 7.678e-11 -1.383e-09 
