vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.05 -0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.931e-09 -3.826e-04 -3.5030 13.1456 -6.0673 -1.281e-04 -3.915e-04 -1.777e-10 -2.663e-05 1.6399 -1.282e-04 -2.158e-22 -5.0000e-02 -2.795e-05 -2.663e-05 0.1414
-0.7 -0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.909e-09 -3.803e-04 -3.4818 19.8276 -6.0307 -1.896e-04 -3.970e-04 -4.516e-10 -4.652e-08 8.3831 -1.898e-04 -2.606e-22 -0.70000 -2.520e-06 -4.652e-08 0.1414
-0.05 -0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.420e-09 -3.832e-04 -3.5030 13.1452 -6.0673 -1.605e-04 -3.944e-04 -2.226e-10 -3.338e-05 1.6395 -1.606e-04 -2.647e-22 -5.0000e-02 -3.504e-05 -3.338e-05 0.1485
-0.7 -0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.115e-09 -3.803e-04 -3.4818 19.8278 -6.0307 -2.362e-04 -4.012e-04 -5.626e-10 -5.796e-08 8.3833 -2.364e-04 -3.191e-22 -0.70000 -3.139e-06 -5.796e-08 0.1483
-0.05 -0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.031e-09 -3.839e-04 -3.5030 13.1449 -6.0673 -2.011e-04 -3.979e-04 -2.789e-10 -4.184e-05 1.6392 -2.013e-04 -3.259e-22 -5.0000e-02 -4.391e-05 -4.183e-05 0.1556
-0.7 -0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.693e-09 -3.803e-04 -3.4818 19.8280 -6.0307 -2.972e-04 -4.065e-04 -7.078e-10 -7.290e-08 8.3835 -2.975e-04 -3.955e-22 -0.70000 -3.949e-06 -7.290e-08 0.1556
-0.05 -0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.799e-09 -3.849e-04 -3.5030 13.1451 -6.0673 -2.520e-04 -4.024e-04 -3.495e-10 -5.243e-05 1.6394 -2.522e-04 -4.025e-22 -5.0000e-02 -5.502e-05 -5.242e-05 0.1626
-0.7 -0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.629e-09 -3.803e-04 -3.4818 19.8283 -6.0307 -3.719e-04 -4.132e-04 -8.859e-10 -9.124e-08 8.3838 -3.724e-04 -4.893e-22 -0.70000 -4.942e-06 -9.124e-08 0.1626
-0.05 -0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.759e-09 -3.860e-04 -3.5030 13.1452 -6.0673 -3.157e-04 -4.080e-04 -4.379e-10 -6.569e-05 1.6395 -3.160e-04 -4.985e-22 -5.0000e-02 -6.893e-05 -6.567e-05 0.1697
-0.7 -0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.205e-08 -3.803e-04 -3.4818 19.8292 -6.0306 -4.653e-04 -4.214e-04 -1.109e-09 -1.141e-07 8.3848 -4.661e-04 -6.065e-22 -0.70000 -6.183e-06 -1.141e-07 0.1697
-0.05 -0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.963e-09 -3.875e-04 -3.5030 13.1452 -6.0673 -3.955e-04 -4.150e-04 -5.486e-10 -8.232e-05 1.6395 -3.961e-04 -6.187e-22 -5.0000e-02 -8.639e-05 -8.230e-05 0.1768
-0.7 -0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.507e-08 -3.803e-04 -3.4818 19.8290 -6.0307 -5.816e-04 -4.317e-04 -1.386e-09 -1.427e-07 8.3845 -5.829e-04 -7.524e-22 -0.70000 -7.729e-06 -1.427e-07 0.1768
-0.05 -0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.470e-09 -3.893e-04 -3.5030 13.1451 -6.0673 -4.953e-04 -4.238e-04 -6.873e-10 -1.032e-04 1.6394 -4.962e-04 -7.690e-22 -5.0000e-02 -1.082e-04 -1.031e-04 0.1838
-0.7 -0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.885e-08 -3.803e-04 -3.4818 19.8296 -6.0307 -7.274e-04 -4.446e-04 -1.734e-09 -1.785e-07 8.3851 -7.292e-04 -9.352e-22 -0.70000 -9.666e-06 -1.785e-07 0.1838
-0.05 -0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.358e-09 -3.916e-04 -3.5030 13.1452 -6.0673 -6.204e-04 -4.348e-04 -8.610e-10 -1.293e-04 1.6395 -6.218e-04 -9.573e-22 -5.0000e-02 -1.356e-04 -1.292e-04 0.1909
-0.7 -0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.359e-08 -3.803e-04 -3.4818 19.8302 -6.0307 -9.103e-04 -4.608e-04 -2.171e-09 -2.234e-07 8.3857 -9.132e-04 -1.165e-21 -0.70000 -1.210e-05 -2.234e-07 0.1909
-0.05 -0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.172e-08 -3.945e-04 -3.5030 13.1452 -6.0673 -7.769e-04 -4.486e-04 -1.078e-09 -1.620e-04 1.6395 -7.791e-04 -1.193e-21 -5.0000e-02 -1.699e-04 -1.619e-04 0.1980
-0.7 -0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.949e-08 -3.803e-04 -3.4818 19.8310 -6.0307 -1.137e-03 -4.808e-04 -2.713e-09 -2.791e-07 8.3865 -1.142e-03 -1.449e-21 -0.70000 -1.511e-05 -2.791e-07 0.1980
-0.05 -0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.466e-08 -3.980e-04 -3.5030 13.1456 -6.0673 -9.709e-04 -4.656e-04 -1.348e-09 -2.025e-04 1.6399 -9.742e-04 -1.485e-21 -5.0000e-02 -2.123e-04 -2.023e-04 0.2050
-0.7 -0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.690e-08 -3.803e-04 -3.4818 19.8323 -6.0307 -1.422e-03 -5.061e-04 -3.395e-09 -3.490e-07 8.3878 -1.429e-03 -1.807e-21 -0.70000 -1.890e-05 -3.490e-07 0.2051
-0.05 -0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.839e-08 -4.026e-04 -3.5030 13.1453 -6.0673 -1.218e-03 -4.873e-04 -1.692e-09 -2.543e-04 1.6396 -1.223e-03 -1.857e-21 -5.0000e-02 -2.667e-04 -2.541e-04 0.2121
-0.7 -0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.614e-08 -3.803e-04 -3.4818 19.8334 -6.0307 -1.777e-03 -5.375e-04 -4.245e-09 -4.362e-07 8.3889 -1.788e-03 -2.252e-21 -0.70000 -2.362e-05 -4.362e-07 0.2121
-0.05 -0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.302e-08 -4.082e-04 -3.5030 13.1465 -6.0673 -1.523e-03 -5.142e-04 -2.118e-09 -3.180e-04 1.6408 -1.531e-03 -2.317e-21 -5.0000e-02 -3.334e-04 -3.177e-04 0.2192
-0.7 -0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.768e-08 -3.803e-04 -3.4818 19.8351 -6.0307 -2.220e-03 -5.766e-04 -5.307e-09 -5.449e-07 8.3905 -2.237e-03 -2.807e-21 -0.70000 -2.950e-05 -5.449e-07 0.2192
-0.05 -0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.883e-08 -4.153e-04 -3.5030 13.1452 -6.0673 -1.907e-03 -5.479e-04 -2.652e-09 -3.993e-04 1.6395 -1.920e-03 -2.896e-21 -5.0000e-02 -4.184e-04 -3.987e-04 0.2263
-0.7 -0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.221e-08 -3.803e-04 -3.4818 19.8373 -6.0307 -2.777e-03 -6.258e-04 -6.644e-09 -6.813e-07 8.3928 -2.802e-03 -3.506e-21 -0.70000 -3.690e-05 -6.813e-07 0.2263
-0.05 -0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.609e-08 -4.242e-04 -3.5030 13.1452 -6.0673 -2.386e-03 -5.900e-04 -3.320e-09 -5.003e-04 1.6395 -2.405e-03 -3.618e-21 -5.0000e-02 -5.240e-04 -4.994e-04 0.2333
-0.7 -0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.014e-08 -3.803e-04 -3.4818 19.8396 -6.0307 -3.463e-03 -6.865e-04 -8.293e-09 -8.495e-07 8.3951 -3.501e-03 -4.367e-21 -0.70000 -4.601e-05 -8.495e-07 0.2333
-0.05 -0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.517e-08 -4.352e-04 -3.5030 13.1452 -6.0673 -2.984e-03 -6.426e-04 -4.156e-09 -6.269e-04 1.6395 -3.013e-03 -4.520e-21 -5.0000e-02 -6.562e-04 -6.255e-04 0.2404
-0.7 -0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.123e-07 -3.804e-04 -3.4818 19.8427 -6.0307 -4.309e-03 -7.614e-04 -1.033e-08 -1.057e-06 8.3982 -4.367e-03 -5.429e-21 -0.70000 -5.726e-05 -1.057e-06 0.2403
-0.05 -0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.652e-08 -4.491e-04 -3.5030 13.1453 -6.0673 -3.730e-03 -7.082e-04 -5.200e-09 -7.854e-04 1.6396 -3.774e-03 -5.646e-21 -5.0000e-02 -8.217e-04 -7.832e-04 0.2475
-0.7 -0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.392e-07 -3.804e-04 -3.4818 19.8464 -6.0307 -5.334e-03 -8.520e-04 -1.281e-08 -1.307e-06 8.4019 -5.420e-03 -6.718e-21 -0.70000 -7.088e-05 -1.307e-06 0.2472
-0.05 -0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.070e-08 -4.665e-04 -3.5030 13.1453 -6.0673 -4.660e-03 -7.899e-04 -6.505e-09 -9.840e-04 1.6396 -4.727e-03 -7.051e-21 -5.0000e-02 -1.029e-03 -9.807e-04 0.2545
-0.7 -0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.756e-07 -3.804e-04 -3.4818 19.8515 -6.0307 -6.715e-03 -9.742e-04 -1.615e-08 -1.644e-06 8.4070 -6.846e-03 -8.454e-21 -0.70000 -8.923e-05 -1.644e-06 0.2545
-0.05 -0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.842e-08 -4.882e-04 -3.5030 13.1453 -6.0673 -5.819e-03 -8.918e-04 -8.134e-09 -1.233e-03 1.6396 -5.920e-03 -8.805e-21 -5.0000e-02 -1.288e-03 -1.228e-03 0.2616
