Vd Vg Vs Vb L Ids Qg E_FE V_FE  
0.3 0.190909090909 0 0 1e-06 5.757e-16 -4.007e-15 6.468e+06 1.4877 
0.05 0.193939393939 0 0 1e-06 4.769e-16 -4.017e-15 6.485e+06 1.4917 
0.3 0.193939393939 0 0 1e-06 5.750e-16 -4.017e-15 6.484e+06 1.4915 
0.05 0.19696969697 0 0 1e-06 4.763e-16 -4.027e-15 6.502e+06 1.4955 
0.3 0.19696969697 0 0 1e-06 5.742e-16 -4.027e-15 6.501e+06 1.4953 
0.05 0.2 0 0 1e-06 4.757e-16 -4.038e-15 6.518e+06 1.4993 
0.3 0.2 0 0 1e-06 1.315e-09 1.733e-18 -2.798e+03 -6.436e-04 
0.05 0.20303030303 0 0 1e-06 1.253e-09 3.911e-18 -6.314e+03 -1.452e-03 
0.3 0.20303030303 0 0 1e-06 1.477e-09 1.899e-18 -3.066e+03 -7.053e-04 
0.05 0.206060606061 0 0 1e-06 1.406e-09 4.117e-18 -6.647e+03 -1.529e-03 
0.3 0.206060606061 0 0 1e-06 1.657e-09 2.079e-18 -3.357e+03 -7.721e-04 
0.05 0.209090909091 0 0 1e-06 1.576e-09 4.342e-18 -7.009e+03 -1.612e-03 
0.3 0.209090909091 0 0 1e-06 5.713e-16 -4.068e-15 6.567e+06 1.5105 
0.05 0.212121212121 0 0 1e-06 4.732e-16 -4.078e-15 6.584e+06 1.5144 
0.3 0.212121212121 0 0 1e-06 5.706e-16 -4.078e-15 6.583e+06 1.5142 
0.05 0.215151515152 0 0 1e-06 4.726e-16 -4.089e-15 6.600e+06 1.5182 
0.3 0.215151515152 0 0 1e-06 5.698e-16 -4.088e-15 6.600e+06 1.5180 
0.05 0.218181818182 0 0 1e-06 4.720e-16 -4.099e-15 6.617e+06 1.5220 
0.3 0.218181818182 0 0 1e-06 5.691e-16 -4.098e-15 6.616e+06 1.5218 
0.05 0.221212121212 0 0 1e-06 4.715e-16 -4.109e-15 6.633e+06 1.5257 
0.3 0.221212121212 0 0 1e-06 5.684e-16 -4.108e-15 6.633e+06 1.5256 
0.05 0.224242424242 0 0 1e-06 4.708e-16 -4.119e-15 6.650e+06 1.5295 
0.3 0.224242424242 0 0 1e-06 5.677e-16 -4.119e-15 6.649e+06 1.5294 
0.05 0.227272727273 0 0 1e-06 4.702e-16 -4.129e-15 6.666e+06 1.5333 
0.3 0.227272727273 0 0 1e-06 5.669e-16 -4.129e-15 6.665e+06 1.5331 
0.05 0.230303030303 0 0 1e-06 4.696e-16 -4.139e-15 6.683e+06 1.5371 
0.3 0.230303030303 0 0 1e-06 4.119e-09 4.253e-18 -6.866e+03 -1.579e-03 
0.05 0.233333333333 0 0 1e-06 7.332e-07 2.051e-15 -3.310e+06 -0.7615 
0.3 0.233333333333 0 0 1e-06 5.655e-16 -4.149e-15 6.698e+06 1.5407 
0.05 0.236363636364 0 0 1e-06 4.333e-09 7.637e-18 -1.233e+04 -2.836e-03 
0.3 0.236363636364 0 0 1e-06 5.648e-16 -4.159e-15 6.715e+06 1.5445 
0.05 0.239393939394 0 0 1e-06 4.678e-16 -4.170e-15 6.732e+06 1.5484 
0.3 0.239393939394 0 0 1e-06 5.641e-16 -4.170e-15 6.731e+06 1.5483 
0.05 0.242424242424 0 0 1e-06 4.672e-16 -4.180e-15 6.748e+06 1.5522 
0.3 0.242424242424 0 0 1e-06 5.634e-16 -4.180e-15 6.748e+06 1.5520 
0.05 0.245454545455 0 0 1e-06 4.666e-16 -4.190e-15 6.765e+06 1.5560 
0.3 0.245454545455 0 0 1e-06 5.626e-16 -4.190e-15 6.764e+06 1.5558 
0.05 0.248484848485 0 0 1e-06 4.661e-16 -4.200e-15 6.781e+06 1.5598 
0.3 0.248484848485 0 0 1e-06 5.619e-16 -4.200e-15 6.780e+06 1.5596 
0.05 0.251515151515 0 0 1e-06 4.655e-16 -4.211e-15 6.798e+06 1.5635 
0.3 0.251515151515 0 0 1e-06 5.612e-16 -4.210e-15 6.797e+06 1.5634 
0.05 0.254545454545 0 0 1e-06 4.649e-16 -4.221e-15 6.814e+06 1.5673 
0.3 0.254545454545 0 0 1e-06 9.887e-09 8.651e-18 -1.396e+04 -3.212e-03 
0.05 0.257575757576 0 0 1e-06 9.146e-09 1.296e-17 -2.091e+04 -4.811e-03 
0.3 0.257575757576 0 0 1e-06 1.099e-08 9.442e-18 -1.524e+04 -3.506e-03 
0.05 0.260606060606 0 0 1e-06 1.014e-08 1.404e-17 -2.266e+04 -5.212e-03 
0.3 0.260606060606 0 0 1e-06 5.591e-16 -4.241e-15 6.846e+06 1.5747 
0.05 0.263636363636 0 0 1e-06 7.115e-07 1.758e-15 -2.838e+06 -0.6528 
0.3 0.263636363636 0 0 1e-06 5.584e-16 -4.251e-15 6.862e+06 1.5785 
0.05 0.266666666667 0 0 1e-06 4.626e-16 -4.261e-15 6.880e+06 1.5824 
0.3 0.266666666667 0 0 1e-06 5.577e-16 -4.261e-15 6.879e+06 1.5822 
0.05 0.269696969697 0 0 1e-06 4.620e-16 -4.272e-15 6.896e+06 1.5862 
0.3 0.269696969697 0 0 1e-06 1.667e-08 1.332e-17 -2.150e+04 -4.946e-03 
0.05 0.272727272727 0 0 1e-06 1.518e-08 1.941e-17 -3.133e+04 -7.208e-03 
0.3 0.272727272727 0 0 1e-06 1.847e-08 1.449e-17 -2.339e+04 -5.382e-03 
0.05 0.275757575758 0 0 1e-06 6.999e-07 1.637e-15 -2.642e+06 -0.6078 
0.3 0.275757575758 0 0 1e-06 4.547e-06 2.703e-15 -4.364e+06 -1.0039 
0.05 0.278787878788 0 0 1e-06 6.966e-07 1.606e-15 -2.593e+06 -0.5964 
0.3 0.278787878788 0 0 1e-06 2.259e-08 1.712e-17 -2.763e+04 -6.356e-03 
0.05 0.281818181818 0 0 1e-06 2.033e-08 2.484e-17 -4.010e+04 -9.224e-03 
0.3 0.281818181818 0 0 1e-06 5.542e-16 -4.312e-15 6.961e+06 1.6011 
0.05 0.284848484848 0 0 1e-06 6.896e-07 1.544e-15 -2.493e+06 -0.5734 
0.3 0.284848484848 0 0 1e-06 4.532e-06 2.618e-15 -4.227e+06 -0.9723 
0.05 0.287878787879 0 0 1e-06 6.858e-07 1.513e-15 -2.442e+06 -0.5618 
0.3 0.287878787879 0 0 1e-06 3.039e-08 2.184e-17 -3.525e+04 -8.109e-03 
0.05 0.290909090909 0 0 1e-06 6.819e-07 1.481e-15 -2.391e+06 -0.5501 
0.3 0.290909090909 0 0 1e-06 4.520e-06 2.561e-15 -4.134e+06 -0.9510 
0.05 0.293939393939 0 0 1e-06 6.777e-07 1.450e-15 -2.340e+06 -0.5383 
0.3 0.293939393939 0 0 1e-06 4.514e-06 2.532e-15 -4.088e+06 -0.9403 
0.05 0.29696969697 0 0 1e-06 6.733e-07 1.417e-15 -2.288e+06 -0.5263 
0.3 0.29696969697 0 0 1e-06 4.507e-06 2.504e-15 -4.041e+06 -0.9296 
0.05 0.3 0 0 1e-06 6.687e-07 1.385e-15 -2.236e+06 -0.5143 
0.3 0.3 0 0 1e-06 4.501e-06 2.475e-15 -3.995e+06 -0.9189 
