vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.189898989899 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.862e-03 -6.6660 17.5585 -11.5458 2.2166 -9.928e-02 5.414e-06 4.580e-02 4.9735 1.5497 1.681e-18 0.40000 -4.619e-02 4.619e-02 0.1899
0.4 0.193939393939 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.790e-03 -6.6660 17.7238 -11.5458 2.5263 -0.1117 6.544e-06 4.427e-02 5.1387 1.7048 1.932e-18 0.40000 -4.463e-02 4.463e-02 0.1939
0.4 0.19797979798 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.720e-03 -6.6660 17.8894 -11.5458 2.8524 -0.1243 7.802e-06 4.277e-02 5.3044 1.8694 2.201e-18 0.40000 -4.310e-02 4.310e-02 0.1980
0.4 0.20202020202 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.665e-03 -6.6660 18.0485 -11.5458 3.1803 -0.1363 9.130e-06 4.159e-02 5.4635 2.0432 2.474e-18 0.40000 -4.191e-02 4.191e-02 0.2020
0.4 0.206060606061 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.633e-03 -6.6660 18.1957 -11.5458 3.4964 -0.1472 1.046e-05 4.092e-02 5.6106 2.2255 2.742e-18 0.40000 -4.123e-02 4.123e-02 0.2061
0.4 0.210101010101 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.630e-03 -6.6660 18.3284 -11.5458 3.7920 -0.1568 1.175e-05 4.084e-02 5.7434 2.4154 2.995e-18 0.40000 -4.115e-02 4.115e-02 0.2101
0.4 0.214141414141 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.654e-03 -6.6660 18.4468 -11.5458 4.0638 -0.1649 1.296e-05 4.135e-02 5.8618 2.6119 3.230e-18 0.40000 -4.167e-02 4.167e-02 0.2141
0.4 0.218181818182 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.703e-03 -6.6660 18.5522 -11.5458 4.3123 -0.1718 1.409e-05 4.241e-02 5.9672 2.8139 3.448e-18 0.40000 -4.274e-02 4.274e-02 0.2182
0.4 0.222222222222 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.776e-03 -6.6660 18.6466 -11.5458 4.5397 -0.1777 1.515e-05 4.397e-02 6.0615 3.0202 3.648e-18 0.40000 -4.432e-02 4.432e-02 0.2222
0.4 0.226262626263 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.872e-03 -6.6660 18.7317 -11.5458 4.7488 -0.1826 1.613e-05 4.600e-02 6.1466 3.2293 3.835e-18 0.40000 -4.639e-02 4.639e-02 0.2263
0.4 0.230303030303 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.989e-03 -6.6660 18.8091 -11.5458 4.9424 -0.1868 1.705e-05 4.850e-02 6.2241 3.4399 4.008e-18 0.40000 -4.893e-02 4.893e-02 0.2303
0.4 0.234343434343 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.128e-03 -6.6660 18.8802 -11.5458 5.1226 -0.1904 1.791e-05 5.145e-02 6.2951 3.6507 4.171e-18 0.40000 -5.193e-02 5.193e-02 0.2343
0.4 0.238383838384 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.289e-03 -6.6660 18.9458 -11.5458 5.2914 -0.1934 1.873e-05 5.488e-02 6.3608 3.8603 4.324e-18 0.40000 -5.542e-02 5.542e-02 0.2384
0.4 0.242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.473e-03 -6.6660 19.0069 -11.5458 5.4502 -0.1959 1.950e-05 5.880e-02 6.4218 4.0673 4.470e-18 0.40000 -5.941e-02 5.941e-02 0.2424
0.4 0.246464646465 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.683e-03 -6.6660 19.0639 -11.5458 5.6002 -0.1981 2.024e-05 6.324e-02 6.4789 4.2707 4.607e-18 0.40000 -6.395e-02 6.395e-02 0.2465
0.4 0.250505050505 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.919e-03 -6.6660 19.1175 -11.5458 5.7425 -0.1998 2.094e-05 6.824e-02 6.5324 4.4695 4.739e-18 0.40000 -6.907e-02 6.907e-02 0.2505
