vd vg vs vb l alpha1_p alpha11_p t_fe ni in1aux vfed qid vn2aux in2aux vfes ids qmis vn1aux sweepvar vtm
0.05 0.204081632653 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -8.480e-04 2.357e-04 -7.999e-04 -64.4724 -2.536e-03 1.329e-09 6.477e-02 -2.202e-03 5.0000e-02 2.586e-02
0.05 0.224489795918 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -1.156e-03 4.985e-04 -1.058e-03 -64.4724 -4.731e-03 2.956e-09 0.1371 -4.093e-03 5.0000e-02 2.586e-02
0.05 0.244897959184 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -1.792e-03 1.040e-03 -1.596e-03 -64.4724 -9.109e-03 6.631e-09 0.2815 -8.022e-03 5.0000e-02 2.586e-02
0.05 0.265306122449 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -3.085e-03 2.143e-03 -2.702e-03 -64.4724 -1.738e-02 1.509e-08 0.5551 -1.578e-02 5.0000e-02 2.586e-02
0.05 0.285714285714 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.703e-03 4.376e-03 -4.968e-03 -64.4724 -3.214e-02 3.499e-08 1.0467 -3.010e-02 5.0000e-02 2.586e-02
0.05 0.30612244898 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -1.107e-02 8.957e-03 -9.681e-03 -64.4724 -5.675e-02 8.171e-08 1.8869 -5.457e-02 5.0000e-02 2.586e-02
0.05 0.326530612245 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -2.267e-02 1.889e-02 -2.002e-02 -64.4724 -9.254e-02 1.813e-07 3.2017 -9.137e-02 5.0000e-02 2.586e-02
0.05 0.34693877551 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -6.864e-02 5.969e-02 -6.789e-02 -64.4724 -0.1258 2.473e-07 4.6476 -0.1259 5.0000e-02 2.586e-02
0.05 0.367346938776 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1418 0.1429 -0.1433 -64.4724 -0.1461 4.104e-08 5.8054 -0.1462 5.0000e-02 2.586e-02
0.05 0.387755102041 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1581 0.1770 -0.1588 -64.4724 -0.1572 -1.682e-08 6.7407 -0.1573 5.0000e-02 2.586e-02
0.05 0.408163265306 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1631 0.2009 -0.1631 -64.4724 -0.1623 -4.421e-08 7.5169 -0.1623 5.0000e-02 2.586e-02
0.05 0.428571428571 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1626 0.2203 -0.1626 -64.4724 -0.1634 -6.265e-08 8.1826 -0.1634 5.0000e-02 2.586e-02
0.05 0.448979591837 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1588 0.2365 -0.1588 -64.4724 -0.1615 -7.404e-08 8.7665 -0.1615 5.0000e-02 2.586e-02
0.05 0.469387755102 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1528 0.2506 -0.1528 -64.4724 -0.1575 -8.155e-08 9.2883 -0.1575 5.0000e-02 2.586e-02
0.05 0.489795918367 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -0.1447 0.2639 -0.1459 -64.4724 -0.1514 -8.742e-08 9.7860 -0.1526 5.0000e-02 2.586e-02
